Code                      | Bucket                    | Description
--------------------------------------------------------------------------------
IMP-DOC-ORIGIN            | origin_charges            | Import Documentation Fee (Origin)
IMP-AWB-ORIGIN            | origin_charges            | Origin AWB Fee
IMP-AGENCY-ORIGIN         | origin_charges            | Import Agency Fee (Origin)
IMP-CTO-ORIGIN            | origin_charges            | Cargo Terminal Operator Fee (Origin)
IMP-SCREEN-ORIGIN         | origin_charges            | X-Ray Screen Fee (Origin)
IMP-PICKUP                | origin_charges            | Pick-Up Fee (Origin)
IMP-FSC-PICKUP            | origin_charges            | Pick-Up Fuel Surcharge
IMP-FRT-AIR               | airfreight                | Import Air Freight
IMP-CLEAR                 | destination_charges       | Customs Clearance (Dest)
IMP-AGENCY-DEST           | destination_charges       | Agency Fee (Dest)
IMP-DOC-DEST              | destination_charges       | Documentation Fee (Dest)
IMP-HANDLING-DEST         | destination_charges       | Handling Fee (Dest)
IMP-LOADING-DEST          | destination_charges       | Loading Fee / Forklift (Dest)
IMP-CARTAGE-DEST          | destination_charges       | Cartage & Delivery (Dest)
IMP-FSC-CARTAGE-DEST      | destination_charges       | Cartage Fuel Surcharge
