table,direction,product_code_id,product_code,location_role,location,currency,counterparty_agent_id,counterparty_carrier_id,lane_origin,lane_destination,rate_per_kg,rate_per_shipment,min_charge,max_charge,percent_rate,is_additive,weight_breaks,valid_from,valid_until,duplicate_routes
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,BNE,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,BNE,,60.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,CNS,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,CNS,,60.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,SYD,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,SYD,,60.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,AUD,,,POM,BNE,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,AUD,,,POM,BNE,,60.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,AUD,,,POM,CNS,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,AUD,,,POM,CNS,,60.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,AUD,,,POM,SYD,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,AUD,,,POM,SYD,,60.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,BNE,,105.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,BNE,,130.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,CNS,,105.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,CNS,,130.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,SYD,,105.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,SYD,,130.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,BNE,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,BNE,,19.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,CNS,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,CNS,,19.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,SYD,,15.00,,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1030,EXP-TERM,origin,POM,AUD,,,POM,SYD,,19.00,,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,BNE,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,BNE,0.1000,,19.00,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,CNS,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,CNS,0.1000,,19.00,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,SYD,0.0500,,50.00,,,False,,2025-01-02,2025-12-31,3
ExportSellRate,EXPORT,1031,EXP-BUILDUP,origin,POM,AUD,,,POM,SYD,0.1000,,19.00,,,False,,2026-01-02,2026-12-31,3
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,AUD,,,POM,BNE,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,3
