table,direction,product_code_id,product_code,location_role,location,currency,counterparty_agent_id,counterparty_carrier_id,lane_origin,lane_destination,rate_per_kg,rate_per_shipment,min_charge,max_charge,percent_rate,is_additive,weight_breaks,valid_from,valid_until,duplicate_routes,conflict
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,BNE,,15.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,BNE,,60.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,CNS,,15.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,CNS,,60.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,SYD,,15.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,AUD,,,POM,SYD,,60.00,,,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,BNE,,50.00,,,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,CNS,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,HIR,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,HKG,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,MNL,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,NAN,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,SIN,,50.00,,,,False,,2025-01-01,2026-12-31,9,False
ExportSellRate,EXPORT,1010,EXP-DOC,origin,POM,PGK,,,POM,SYD,,50.00,,,,False,,2025-01-01,2025-12-31,9,False
