iata_code,name,city_name,country_code
ADL,Adelaide International Airport,Adelaide,AU
AKL,Auckland International Airport,Auckland,NZ
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN
AMS,Amsterdam Airport Schiphol,Amsterdam,NL
APW,Faleolo International Airport,Apia,WS
BER,Berlin Brandenburg Airport,Berlin,DE
BHX,Birmingham Airport,Birmingham,GB
BKI,Kota Kinabalu International Airport,Kota Kinabalu,MY
BKK,Suvarnabhumi Airport,Bangkok,TH
BLR,Kempegowda International Airport Bengaluru,Bengaluru,IN
BNE,Brisbane International Airport,Brisbane,AU
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN
BWN,Brunei International Airport,Bandar Seri Begawan,BN
CAN,Guangzhou Baiyun International Airport,Guangzhou,CN
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,IN
CEB,Mactan Cebu International Airport,Cebu,PH
CGK,Soekarno-Hatta International Airport,Jakarta,ID
CHC,Christchurch International Airport,Christchurch,NZ
CNS,Cairns International Airport,Cairns,AU
CNX,Chiang Mai International Airport,Chiang Mai,TH
COK,Cochin International Airport,Kochi,IN
CRK,Clark International Airport / Clark Air Base,Clark,PH
CTS,New Chitose Airport,Sapporo,JP
DAD,Da Nang International Airport,Da Nang,VN
DEL,Indira Gandhi International Airport,Delhi,IN
DIL,Presidente Nicolau Lobato International Airport,Dili,TL
DMK,Don Mueang International Airport,Bangkok,TH
DPS,Denpasar I Gusti Ngurah Rai International Airport,Denpasar,ID
DUS,Düsseldorf Airport,Dusseldorf,DE
DVO,Francisco Bangoy International Airport,Davao,PH
FRA,Frankfurt Main Airport,Frankfurt,DE
FUK,Fukuoka Airport,Fukuoka,JP
FUN,Funafuti International Airport,Funafuti,TV
GMP,Gimpo International Airport,Seoul,KR
HAM,Hamburg Helmut Schmidt Airport,Hamburg,DE
HAN,Noi Bai International Airport,Hanoi,VN
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG
HIR,Honiara International Airport,Honiara,SB
HKT,Phuket International Airport,Phuket,TH
HLP,Halim Perdanakusuma International Airport,Jakarta,ID
HND,Tokyo Haneda International Airport,Tokyo,JP
HYD,Rajiv Gandhi International Airport,Hyderabad,IN
ICN,Incheon International Airport,Seoul,KR
INU,Nauru International Airport,Nauru,NR
ITM,Osaka Itami International Airport,Osaka,JP
KCH,Kuching International Airport,Kuching,MY
KIX,Kansai International Airport,Osaka,JP
KNO,Kualanamu International Airport,Medan,ID
KUL,Kuala Lumpur International Airport,Kuala Lumpur,MY
KWA,Bucholz Army Air Field,Kwajalein,MH
LAE,Nadzab Tomodachi International Airport,Lae,PG
LGW,London Gatwick Airport,London,GB
LHR,London Heathrow Airport,London,GB
LPQ,Luang Phabang International Airport,Luang Prabang,LA
MAA,Chennai International Airport,Chennai,IN
MAJ,Marshall Islands International Airport,Majuro,MH
MAN,Manchester Airport,Manchester,GB
MDL,Mandalay International Airport,Mandalay,MM
MEL,Melbourne Airport,Melbourne,AU
MNL,Ninoy Aquino International Airport,Manila,PH
MUC,Munich Airport,Munich,DE
NAN,Nadi International Airport,Nadi,FJ
NGO,Chubu Centrair International Airport,Nagoya,JP
NRT,Narita International Airport,Tokyo,JP
PEK,Beijing Capital International Airport,Beijing,CN
PEN,Penang International Airport,Penang,MY
PER,Perth International Airport,Perth,AU
PKX,Beijing Daxing International Airport,Beijing,CN
PNH,Phnom Penh International Airport,Phnom Penh,KH
PNI,Pohnpei International Airport,Pohnpei,FM
PNQ,Pune International Airport,Pune,IN
POM,Port Moresby Jacksons International Airport,Port Moresby,PG
PUS,Gimhae International Airport,Busan,KR
PVG,Shanghai Pudong International Airport,Shanghai,CN
RGN,Yangon International Airport,Yangon,MM
ROR,Roman Tmetuchl International Airport,Koror,PW
RTM,Rotterdam The Hague Airport,Rotterdam,NL
SAI,Siem Reap-Angkor International Airport,Siem Reap,KH
SGN,Tan Son Nhat International Airport,Ho Chi Minh City,VN
SHA,Shanghai Hongqiao International Airport,Shanghai,CN
SIN,Singapore Changi Airport,Singapore,SG
STN,London Stansted Airport,London,GB
SUB,Juanda International Airport,Surabaya,ID
SUV,Nausori International Airport,Suva,FJ
SYD,Sydney Kingsford Smith International Airport,Sydney,AU
SZX,Shenzhen Bao'an International Airport,Shenzhen,CN
TAO,Qingdao Jiaodong International Airport,Qingdao,CN
TBU,Fua'amotu International Airport,Nuku'alofa,TO
TKK,Chuuk International Airport,Chuuk,FM
TRW,Bonriki International Airport,Tarawa,KI
UPG,Sultan Hasanuddin International Airport,Makassar,ID
VLI,Bauerfield International Airport,Port Vila,VU
VTE,Wattay International Airport,Vientiane,LA
WLG,Wellington International Airport,Wellington,NZ
XMN,Xiamen Gaoqi International Airport,Xiamen,CN
