iata_code,name,city_name,country_code
ADL,Adelaide International Airport,Adelaide,AU
AKL,Auckland International Airport,Auckland,NZ
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN
AMS,Amsterdam Airport Schiphol,Amsterdam,NL
APW,Faleolo International Airport,Apia,WS
BER,Berlin Brandenburg Airport,Berlin,DE
BHX,Birmingham Airport,Birmingham,GB
BKI,Kota Kinabalu International Airport,Kota Kinabalu,MY
BKK,Suvarnabhumi Airport,Bangkok,TH
BLR,Kempegowda International Airport Bengaluru,Bengaluru,IN
BNE,Brisbane International Airport,Brisbane,AU
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN
BUA,Buka Airport,Buka,PG
BWN,Brunei International Airport,Bandar Seri Begawan,BN
CAN,Guangzhou Baiyun International Airport,Guangzhou,CN
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,IN
CEB,Mactan Cebu International Airport,Cebu,PH
CGK,Soekarno-Hatta International Airport,Jakarta,ID
CHC,Christchurch International Airport,Christchurch,NZ
CMU,Kundiawa Airport,Kundiawa,PG
CNS,Cairns International Airport,Cairns,AU
CNX,Chiang Mai International Airport,Chiang Mai,TH
COK,Cochin International Airport,Kochi,IN
CRK,Clark International Airport / Clark Air Base,Clark,PH
CTS,New Chitose Airport,Sapporo,JP
DAU,Daru Airport,Daru,PG
DAD,Da Nang International Airport,Da Nang,VN
DEL,Indira Gandhi International Airport,Delhi,IN
DIL,Presidente Nicolau Lobato International Airport,Dili,TL
DMK,Don Mueang International Airport,Bangkok,TH
DPS,Denpasar I Gusti Ngurah Rai International Airport,Denpasar,ID
DUS,Dusseldorf Airport,Dusseldorf,DE
DVO,Francisco Bangoy International Airport,Davao,PH
FRA,Frankfurt Main Airport,Frankfurt,DE
FUK,Fukuoka Airport,Fukuoka,JP
FUN,Funafuti International Airport,Funafuti,TV
GKA,Goroka Airport,Goroka,PG
GMP,Gimpo International Airport,Seoul,KR
GUR,Gurney Airport,Alotau,PG
HAM,Hamburg Helmut Schmidt Airport,Hamburg,DE
HAN,Noi Bai International Airport,Hanoi,VN
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG
HIR,Honiara International Airport,Honiara,SB
HKN,Hoskins Airport,Hoskins,PG
HKT,Phuket International Airport,Phuket,TH
HLP,Halim Perdanakusuma International Airport,Jakarta,ID
HND,Tokyo Haneda International Airport,Tokyo,JP
HYD,Rajiv Gandhi International Airport,Hyderabad,IN
ICN,Incheon International Airport,Seoul,KR
INU,Nauru International Airport,Nauru,NR
ITM,Osaka Itami International Airport,Osaka,JP
KCH,Kuching International Airport,Kuching,MY
KIE,Kieta Airport,Kieta,PG
KIX,Kansai International Airport,Osaka,JP
KNO,Kualanamu International Airport,Medan,ID
KOM,Komo Airport,Komo,PG
KUL,Kuala Lumpur International Airport,Kuala Lumpur,MY
KVG,Kavieng Airport,Kavieng,PG
KWA,Bucholz Army Air Field,Kwajalein,MH
LAE,Nadzab Tomodachi International Airport,Lae,PG
LGW,London Gatwick Airport,London,GB
LHR,London Heathrow Airport,London,GB
LNV,Lihir Airport,Lihir Island,PG
LSA,Losuia Airport,Losuia,PG
LPQ,Luang Phabang International Airport,Luang Prabang,LA
MAA,Chennai International Airport,Chennai,IN
MAG,Madang Airport,Madang,PG
MAJ,Marshall Islands International Airport,Majuro,MH
MAN,Manchester Airport,Manchester,GB
MAS,Momote Airport,Manus Island,PG
MDL,Mandalay International Airport,Mandalay,MM
