country_code,name
AU,Adelaide
AU,Brisbane
AU,Cairns
AU,Melbourne
AU,Perth
AU,Sydney
BN,Bandar Seri Begawan
CN,Beijing
CN,Guangzhou
CN,Qingdao
CN,Shanghai
CN,Shenzhen
CN,Xiamen
DE,Berlin
DE,Dusseldorf
DE,Frankfurt
DE,Hamburg
DE,Munich
FJ,Nadi
FJ,Suva
FM,Chuuk
FM,Pohnpei
GB,Birmingham
GB,London
GB,Manchester
ID,Denpasar
ID,Jakarta
ID,Makassar
ID,Medan
ID,Surabaya
IN,Ahmedabad
IN,Bengaluru
IN,Chennai
IN,Delhi
IN,Hyderabad
IN,Kochi
IN,Kolkata
IN,Mumbai
IN,Pune
JP,Fukuoka
JP,Nagoya
JP,Osaka
JP,Sapporo
JP,Tokyo
KH,Phnom Penh
KH,Siem Reap
KI,Tarawa
KR,Busan
KR,Seoul
LA,Luang Prabang
LA,Vientiane
MH,Kwajalein
MH,Majuro
MM,Mandalay
MM,Yangon
MY,Kota Kinabalu
MY,Kuala Lumpur
MY,Kuching
MY,Penang
NL,Amsterdam
NL,Rotterdam
NR,Nauru
NZ,Auckland
NZ,Christchurch
NZ,Wellington
PG,Lae
PG,Alotau
PG,Buka
PG,Daru
PG,Goroka
PG,Hoskins
PG,Kavieng
PG,Kieta
PG,Kiunga
PG,Komo
PG,Kundiawa
PG,Lihir Island
PG,Losuia
PG,Madang
PG,Manus Island
PG,Mendi
PG,Mount Hagen
PG,Popondetta
PG,Port Moresby
PG,Rabaul
PG,Tabubil
PG,Tari
PG,Tufi
PG,Vanimo
PG,Wapenamanda
PG,Wewak
PH,Cebu
PH,Clark
PH,Davao
PH,Manila
PW,Koror
SB,Honiara
SG,Singapore
TH,Bangkok
TH,Chiang Mai
TH,Phuket
TL,Dili
TO,Nuku'alofa
TV,Funafuti
VN,Da Nang
VN,Hanoi
VN,Ho Chi Minh City
VU,Port Vila
WS,Apia
