iata_code,name,city_name,country_code
AAK,Aranuka Airport,Buariki,KI
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID
AAT,Altay Xuedu Airport,Altay,CN
AAU,Asau Airport,Asau,WS
AAV,Allah Valley Airport,Surallah,PH
ABF,Abaiang Airport,Abaiang,KI
ABM,Northern Peninsula Airport,Bamaga,AU
ABP,Atkamba Airport,Atkamba Mission,PG
ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID
ABX,Albury Airport,East Albury,AU
ABZ,Aberdeen International Airport,Aberdeen,GB
ACF,Aral Tarim Airport,Aral,CN
ACX,Xingyi Wanfenglin Airport,Xingyi,CN
ADC,Andakombe Airport,Andekombe,PG
ADL,Adelaide International Airport,Adelaide,AU
ADX,Leuchars Station Airfield,"Leuchars, Fife",GB
AEA,Abemama Airport,Abemama,KI
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),CN
AEG,Aek Godang Airport,Padang Sidempuan,ID
AEK,Aseki Airport,Aseki,PG
AFR,Afore Airstrip,Afore,PG
AFT,Afutara Aerodrome,Bila,SB
AGB,Augsburg Airport,Augsburg,DE
AGE,Wangerooge Airport,Wangerooge,DE
AGG,Angoram Airport,Angoram,PG
AGJ,Aguni Airport,Aguni,JP
AGK,Kagua Airport,Kagua,PG
AGL,Wanigela Airport,Wanigela,PG
AGR,Agra Airport / Agra Air Force Station,Agra,IN
AGX,Agatti Airport,Agatti,IN
AHA,Maa Mahamaya Airport,Ambikapur,IN
AHJ,Hongyuan Airport,Ngawa (Hongyuan),CN
AIC,Ailinglaplap Airok Airport,Bigatyelang Island,MH
AIE,Aiome Airport,Aiome,PG
AIH,Aiambak Airport,Aiambak,PG
AIM,Ailuk Airport,Ailuk Island,MH
AIP,Adampur Airport,Adampur,IN
AIS,Arorae Island Airport,Arorae Island,KI
AJL,Lengpui Airport,Aizawl (Lengpui),IN
AKA,Ankang Fuqiang Airport,Ankang (Hanbin),CN
AKD,Akola Airport,Akola,IN
AKG,Anguganak Airport,Anguganak,PG
AKJ,Asahikawa Airport,Higashikagura,JP
AKL,Auckland International Airport,Auckland,NZ
AKS,Gwaunaru'u Airport,Auki,SB
AKU,Aksu Hongqipo Airport,Aksu (Onsu),CN
AKY,Sittwe Airport,Sittwe,MM
ALH,Albany Airport,Albany,AU
ALR,Alexandra Aerodrome,Alexandra,NZ
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN
AMQ,Pattimura International Airport,Ambon,ID
AMS,Amsterdam Airport Schiphol,Amsterdam,NL
AMU,Amanab Airport,Amanab,PG
AMZ,Ardmore Airport,Manurewa,NZ
AOC,Leipzig–Altenburg Airport,Nobitz,DE
AOG,Anshan Teng'ao Airport / Anshan Air Base,Anshan,CN
AOJ,Aomori Airport,Aomori,JP
AOR,Sultan Abdul Halim Airport,Alor Satar,MY
APJ,Ali Pulan Airport,Burang Town,CN
APR,April River Airport,April River,PG
APW,Faleolo International Airport,Apia,WS
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,Anqing,CN
ARD,Alor Island - Mali Airport,Kabola,ID
ARM,Armidale Airport,Armidale,AU
ARY,Ararat Airport,Ararat,AU
ASJ,Amami Airport,Amami,JP
ASP,Alice Springs Airport,Alice Springs,AU
ATD,Uru Harbour Airport,Atoifi,SB
ATN,Namatanai Airport,Namatanai,PG
ATP,Aitape Airport,Aitape,PG
ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,IN
AUI,Aua Island Airport,Aua Island,PG
AUJ,Ambunti Airport,Ambunti,PG
AUL,Aur Island Airport,Aur Atoll,MH
AUP,Agaun Airport,Agaun,PG
AUU,Aurukun Airport,Aurukun,AU
AUV,Aumo Airport,Aumo,PG
AUY,Aneityum Airport,Anatom Island,VU
AVA,Anshun Huangguoshu Airport,Anshun (Xixiu),CN
AVU,Avu Avu Airport,Avu Avu,SB
AVV,Melbourne Avalon International Airport,Geelong/Melbourne,AU
AWB,Awaba Airport,Awaba,PG
AWD,Aniwa Airport,Aniwa,VU
AWR,Awar Airport (unusable),Awar,PG
AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN
AXJ,Amakusa Airport,Amakusa,JP
AXT,Akita Airport,Akita,JP
AYJ,Maharshi Valmiki International Airport,Faizabad,IN
AYQ,Ayers Rock Connellan Airport,Yulara,AU
AYU,Aiyura Airport,Aiyura Valley,PG
BAA,Bialla Airport,"Bialla, Matalilu, Ewase",PG
BAG,Loakan Airport,Baguio,PH
BAJ,Bali Airport,Unea Island,PG
BAR,Qionghai Bo'ao Airport,Qionghai (Basuo),CN
BAS,Ballalae Airport,Ballalae,SB
BAV,Baotou Donghe International Airport,Baotou,CN
BBG,Butaritari Airport,Butaritari,KI
BBI,Biju Patnaik International Airport,Bhubaneswar,IN
BBM,Battambang Airport,Battambang,KH
BBN,Bario Airport,Bario,MY
BBS,Blackbushe Airport,"Camberley, Surrey",GB
BCD,Bacolod-Silay International Airport,Bacolod City,PH
BCH,Baucau Airport,Baucau,TL
BCI,Barcaldine Airport,Barcaldine,AU
BCP,Bambu Airport,Bambu,PG
BDB,Bundaberg Airport,Bundaberg,AU
BDD,Badu Island Airport,Badu Island,AU
BDJ,Syamsudin Noor International Airport,Banjarbaru,ID
BDO,Husein Sastranegara International Airport,Bandung,ID
BDQ,Vadodara International Airport,Vadodara,IN
BEB,Benbecula Airport,Balivanich,GB
BEJ,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID
BEK,Bareilly Air Force Station,Bareilly,IN
BEP,Bellary Airport,Bellary,IN
BEQ,RAF Honington,"Bury Saint Edmunds, Suffolk",GB
BER,Berlin Brandenburg Airport,Berlin,DE
BEU,Bedourie Airport,Bedourie,AU
BEX,RAF Benson,"Wallingford, Oxfordshire",GB
BEZ,Beru Airport,Beru,KI
BFE,Bielefeld Airport,Bielefeld,DE
BFJ,Bijie Feixiong Airport,Bijie,CN
BFS,Belfast International Airport,Belfast,GB
BFU,Bengbu Renheji Airport,Bengbu,CN
BFV,Buri Ram Airport,Buriram,TH
BFY,Bengbu Tenghu Airport,Bengbu,CN
BHD,George Best Belfast City Airport,Belfast,GB
BHE,Woodbourne Airport,Blenheim,NZ
BHJ,Bhuj Airport,Bhuj,IN
BHO,Raja Bhoj International Airport,Bhopal,IN
BHQ,Broken Hill Airport,Broken Hill,AU
BHS,Bathurst Airport,Bathurst,AU
BHU,Bhavnagar Airport,Bhavnagar,IN
BHX,Birmingham Airport,"Birmingham, West Midlands",GB
BHY,Beihai Fucheng Airport,Beihai,CN
BII,Bikini Atoll Airport,Bikini Atoll,MH
BIK,Frans Kaisiepo Airport,Biak,ID
BKB,Nal Airport,Bikaner,IN
BKI,Kota Kinabalu International Airport,Kota Kinabalu,MY
BKK,Suvarnabhumi Airport,Bangkok,TH
BKM,Bakalalan Airport,Bakalalan,MY
BKQ,Blackall Airport,Blackall,AU
BKS,Fatmawati Soekarno Airport,Bengkulu,ID
BLK,Blackpool Airport,Blackpool,GB
BLN,Benalla Airport,Benalla,AU
BLR,Kempegowda International Airport Bengaluru,Bengaluru,IN
BME,Broome International Airport,Broome,AU
BMH,Bomai Airport,Bomai,PG
BMK,Borkum Airport,Borkum,DE
BMO,Banmaw Airport,Banmaw,MM
BMR,Baltrum Airport,Baltrum,DE
BMU,Sultan Muhammad Salahuddin Airport,Bima,ID
BMV,Buon Ma Thuot Airport,Buon Ma Thuot,VN
BMZ,Bamu Airport,Bamu,PG
BNE,Brisbane International Airport,Brisbane,AU
BNK,Ballina Byron Gateway Airport,Ballina,AU
BNM,Bodinumu Airport,Bodinumu,PG
BNT,Bundi Airport,Bundi,PG
BNV,Boana Airport,Boana,PG
BNY,Bellona/Anua Airport,Anua,SB
BOH,Bournemouth Airport,Bournemouth,GB
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN
BOR,Bokeo International Airport,Ton Phueng,LA
BOT,Bosset Airport,Bosset,PG
BOV,Boang Airport,Boang Island,PG
BPD,Bapi Airstrip,Bapi,PG
BPE,Qinhuangdao Beidaihe Airport,Qinhuangdao (Changli),CN
BPF,Batuna Aerodrome,Batuna Mission Station,SB
BPH,Bislig Airport,Bislig,PH
BPK,Biangabip Airport,Biangabip,PG
BPL,Bole Alashankou Airport,Bole,CN
BPM,Begumpet Airport,Hyderabad,IN
BPN,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,Balikpapan,ID
BPX,Qamdo Bangda Airport,Bangda,CN
BQA,Dr. Juan C. Angara Airport,Baler,PH
BQB,Busselton Margaret River Regional Airport,Busselton,AU
BQH,London Biggin Hill Airport,London,GB
BRE,Bremen Airport,Bremen,DE
BRH,Brahman Airstrip,Brahman Mission,PG
BRP,Biaru Airport,Biaru,PG
BRR,Barra Airport,Eoligarry,GB
BRS,Bristol Airport,Bristol,GB
BRT,Bathurst Island Airport,Wurrumiyanga,AU
BSD,Baoshan Yunrui Airport,Baoshan (Longyang),CN
BSJ,Bairnsdale Airport,Bairnsdale,AU
BSO,Basco Airport,Basco,PH
BSP,Bensbach Airport,Bensbach,PG
BSX,Pathein Airport,Pathein,MM
BTH,Hang Nadim International Airport,Batam,ID
BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,ID
BTU,Bintulu Airport,Bintulu,MY
BTW,Bersujud Airport,Batu Licin,ID
BTZ,Betong International Airport,Betong,TH
BUA,Buka Airport,Buka Island,PG
BUI,Bokondini Airport,Bokondini,ID
BUL,Bulolo Airport,Bulolo,PG
BUU,Muara Bungo Airport,Muara Bungo,ID
BWE,Braunschweig-Wolfsburg Airport,Braunschweig,DE
BWF,Barrow Walney Island Airport,Barrow-in-Furness,GB
BWH,RMAF Butterworth Air Base,Butterworth,MY
BWN,Brunei International Airport,Bandar Seri Begawan,BN
BWP,Bewani Airport,Bewani,PG
BWT,Wynyard Airport,Burnie,AU
BWU,Sydney Bankstown Airport,Sydney,AU
BWX,Banyuwangi Airport,"Rogojampi, Banyuwangi",ID
BXB,Babo Airport,Babo,ID
BXL,Blue Lagoon Seaplane Base,Nanuya Lailai Island,FJ
BXT,LNG Badak Airport,Bontang-Borneo Island,ID
BXU,Bancasi Airport,Butuan,PH
BXZ,Bunsil Airport,Bunsil - Umboi Island,PG
BYU,Bayreuth Airport,Bindlach,DE
BZX,Bazhong Enyang Airport,Bazhong,CN
BZZ,RAF Brize Norton,"Carterton, Oxfordshire",GB
CAH,Cà Mau Airport,Ca Mau City,VN
CAL,Campbeltown Airport,Campbeltown,GB
CAN,Guangzhou Baiyun International Airport,Guangzhou (Huadu),CN
CAX,Carlisle Lake District Airport,"Carlisle, Cumbria",GB
CBD,Car Nicobar Air Force Base,IAF Camp,IN
CBG,Cambridge City Airport,"Cambridge, Cambridgeshire",GB
CBO,Cotabato (Awang) Airport,Datu Odin Sinsuat,PH
CBR,Canberra Airport,Canberra,AU
