iata_code,name,city_name,country_code
AAA,Anaa Airport,Anaa,PF
AAB,Arrabury Airport,Tanbar,AU
AAC,El Arish International Airport,El Arish,EG
AAD,Adado Airport,Adado,SO
AAE,Annaba Rabah Bitat Airport,Annaba,DZ
AAF,Apalachicola Regional Airport,Apalachicola,US
AAH,Aachen-Merzbrück Airport,Aachen,DE
AAI,Arraias Airport,Arraias,BR
AAJ,Cayana Airstrip,Awaradam,SR
AAK,Aranuka Airport,Buariki,KI
AAL,Aalborg Airport,Aalborg,DK
AAM,Malamala Airport,Malamala,ZA
AAN,Al Ain International Airport,Al Ain,AE
AAO,Anaco Airport,Anaco,VE
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID
AAQ,Anapa Vityazevo Airport,Krasnyi Kurgan,RU
AAR,Aarhus Airport,Aarhus,DK
AAS,Apalapsili Airport,Apalapsili,ID
AAT,Altay Xuedu Airport,Altay,CN
AAU,Asau Airport,Asau,WS
AAV,Allah Valley Airport,Surallah,PH
AAX,Romeu Zema Airport,Araxá,BR
AAY,Al Ghaydah International Airport,Al Ghaydah,YE
AAZ,Quezaltenango Airport,Quezaltenango,GT
ABA,Abakan International Airport,Abakan,RU
ABB,Asaba International Airport,Asaba,NG
ABC,Albacete Airport / Los Llanos Air Base,Albacete,ES
ABD,Abadan Ayatollah Jami International Airport,Abadan,IR
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US
ABF,Abaiang Airport,Abaiang,KI
ABG,Abingdon Downs Airport,Abingdon Downs,AU
ABH,Alpha Airport,Alpha,AU
ABI,Abilene Regional Airport,Abilene,US
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI
ABK,Kebri Dahar Airport,Kebri Dahar,ET
ABL,Ambler Airport,Ambler,US
ABM,Northern Peninsula Airport,Bamaga,AU
ABN,Albina Airport,Albina,SR
ABO,Aboisso Airport,Aboisso,CI
ABP,Atkamba Airport,Atkamba Mission,PG
ABQ,Albuquerque International Sunport,Albuquerque,US
ABR,Aberdeen Regional Airport,Aberdeen,US
ABS,Abu Simbel Airport,Abu Simbel,EG
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA
ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID
ABV,Nnamdi Azikiwe International Airport,Abuja,NG
ABX,Albury Airport,East Albury,AU
ABY,Southwest Georgia Regional Airport,Albany,US
ABZ,Aberdeen International Airport,Aberdeen,GB
ACA,General Juan N. Álvarez International Airport,Acapulco,MX
ACB,Antrim County Airport,Bellaire,US
ACC,Kotoka International Airport,Accra,GH
ACD,Alcides Fernández Airport,Acandí,CO
ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES
ACF,Aral Tarim Airport,Aral,CN
ACH,Sankt Gallen Altenrhein Airport,St. Gallen,CH
ACI,Alderney Airport,Saint Anne,GG
ACJ,Anuradhapura Airport,Anuradhapura,LK
ACK,Nantucket Memorial Airport,Nantucket,US
ACM,Arica Airport,Arica,CO
ACN,Ciudad Acuña International Airport,Ciudad Acuña,MX
ACO,Cóbano Airport,Cóbano,CR
ACP,Sahand Airport,Maragheh,IR
ACR,Araracuara Airport,Araracuara,CO
ACS,Achinsk Airport,Achinsk,RU
ACT,Waco Regional Airport,Waco,US
ACU,Achutupu Airport,Mamitupu,PA
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US
ACX,Xingyi Wanfenglin Airport,Xingyi,CN
ACY,Atlantic City International Airport,Atlantic City,US
ACZ,Zabol Airport,Zabol,IR
ADA,Adana Şakirpaşa Airport,Seyhan,TR
ADB,Adnan Menderes International Airport,Gaziemir,TR
ADC,Andakombe Airport,Andekombe,PG
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET
ADE,Aden International Airport,Aden,YE
ADF,Adıyaman Airport,Adıyaman,TR
ADG,Lenawee County Airport,Adrian,US
ADH,Aldan Airport,Aldan,RU
ADI,Arandis Airport,Arandis,NA
ADJ,Marka International (Amman Civil) Airport,Amman,JO
ADK,Adak Airport,Adak,US
ADL,Adelaide International Airport,Adelaide,AU
ADM,Ardmore Municipal Airport,Ardmore,US
ADO,Andamooka Airport,Andamooka,AU
ADP,Ampara Airport,Ampara,LK
ADQ,Kodiak Airport,Kodiak,US
ADR,Robert F Swinnie Airport,Andrews,US
ADS,Addison Airport,Dallas,US
ADT,Ada Regional Airport,Ada,US
ADU,Ardabil Airport,Ardabil,IR
ADV,El Daein Airport,El Daein,SD
ADW,Joint Base Andrews,Camp Springs,US
ADX,Leuchars Station Airfield,"Leuchars, Fife",GB
ADY,Alldays Airport,Alldays,ZA
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,CO
