action_required,normalized_label,source_labels_seen,occurrence_count,affected_charge_line_ids,affected_envelope_ids,recommended_product_code_id,recommended_product_code_code,recommended_product_code_description,confidence,reason
APPLY_EXISTING_PRODUCT_CODE,fuel surcharge,Fuel Surcharge (7),7,0bd6f969-fafd-43dc-81a7-159145fd1bd8;13703c30-d5c4-4490-9401-2b67b5c4db4f;31df5cd9-fc80-4e16-86e0-c71df3c401ee;633d35ab-a299-4d82-9bf4-bdf70a68fa6a;9364700e-4be4-4834-8053-2114d52346a4;99ad254d-8bea-4dab-a71e-975bd8a54882;e1abcf40-8cfc-4f8e-ad06-307c984d32a4,0521a5a1-1728-44cf-b58e-e3b528ccc044;1dcf487f-b6c4-4edf-ba72-9c7b86e480a0;303287ed-357c-4c19-88a1-000b6886a26f;489e98da-cdd4-4f2e-8361-f26d73da89c6;5f849bc2-b647-42dd-9254-b8e204034bfc;a1229a95-dbcb-4e27-80fd-9b72427de1ad;ee56a130-06d3-4b04-9f02-4111fa038c80,3030,DOM-FSC,Fuel Surcharge,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,pickup charge,Pickup Charge (5),5,48c4547e-da54-4500-b83a-f156b6be05ca;70702f29-6abb-4416-a39c-49008981a63b;a40e6c01-49b9-4790-8e4c-d33ee696e37a;d18da4e8-3d94-44f3-8688-28aedd596566;e752647e-f924-442a-a979-ac8a82b4da4c,2e8bf722-cca6-49a8-aac6-333469ad4797;3def6934-468c-46ae-b316-99a1392d2be2;489e98da-cdd4-4f2e-8361-f26d73da89c6;cd49a6ec-74f7-40d4-baf2-d9380cbe9ff7,2050,IMP-PICKUP,Pick-Up Fee (Origin),HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,awb fee,AWB Fee (4),4,18482690-884f-4727-87b5-20453aeaccc7;1d24fc43-5edb-414c-b4bd-235b0bc1b230;d0f716f1-f268-4a8b-978a-1701eb6f62be;f5d2aa2e-2af0-4c11-9a75-ab57aaa7d1c4,0521a5a1-1728-44cf-b58e-e3b528ccc044;ee56a130-06d3-4b04-9f02-4111fa038c80,1011,EXP-AWB,Export AWB Fee,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,customs clearance,Customs Clearance (4),4,12167b1e-b2b2-4704-b2d4-d5b1fa313d3d;144ce455-65d3-4a7a-b09f-c9ef708f62c3;339fae32-ea2a-4759-97a6-acd1f8fdb1b6;911d51ec-2878-4da6-9f7b-dde7d4549502,2e8bf722-cca6-49a8-aac6-333469ad4797;3def6934-468c-46ae-b316-99a1392d2be2;489e98da-cdd4-4f2e-8361-f26d73da89c6,1020,EXP-CLEAR,Export Customs Clearance,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,handling fee,Handling Fee (4),4,3974d699-2e19-47bd-a760-0887d3489442;724e7744-f748-4eb1-890d-af13a46beae7;89b4bea9-2936-4735-a452-1631538013a7;e18bcfa8-f163-40fc-9368-496f7a36ca81,2e8bf722-cca6-49a8-aac6-333469ad4797;3def6934-468c-46ae-b316-99a1392d2be2;489e98da-cdd4-4f2e-8361-f26d73da89c6;cd49a6ec-74f7-40d4-baf2-d9380cbe9ff7,1032,EXP-HANDLE,Export Handling Fee,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,export license,Export License (3),3,54ac2796-2e53-40d9-857d-18963c452639;d11dbcdb-6c6d-4c64-bf83-c822fcf17464;f19af6d5-fea6-4ef7-a651-9158a78d2001,2e8bf722-cca6-49a8-aac6-333469ad4797;3def6934-468c-46ae-b316-99a1392d2be2;cd49a6ec-74f7-40d4-baf2-d9380cbe9ff7,2000,IMP-PRM-ORIGIN,Import Origin Permit / License,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,import origin customs clearance,Import Origin Customs Clearance (2),2,020f80b7-d0f7-46c4-b5b9-db667094b131;3f14112c-355d-4d40-9e9b-3937e9565ea8,4f79d878-11eb-4f1b-9c4e-4d73463ab985;52888afd-deb1-4958-a7a0-6f94d35af8e9,2002,IMP-CUS-CLR-ORIGIN,Import Origin Customs Clearance,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,air freight,Air Freight (1),1,c1e16ada-ecd4-4ab8-ace2-c74fd3ac6d10,3def6934-468c-46ae-b316-99a1392d2be2,1001,EXP-FRT-AIR,Export Air Freight,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,documentation fee,Documentation Fee (1),1,080eba73-bb19-4bc4-ba51-d9e57d04eca4,3def6934-468c-46ae-b316-99a1392d2be2,1010,EXP-DOC,Export Documentation Fee,HIGH,Existing alias or ProductCode match is available for this unresolved label.
APPLY_EXISTING_PRODUCT_CODE,security screening,Security Screening (1),1,fba6762a-0103-45df-a54a-bb5f577ec4fb,0521a5a1-1728-44cf-b58e-e3b528ccc044,1040,EXP-SCREEN,Export Security Screening,HIGH,Existing alias or ProductCode match is available for this unresolved label.
CREATE_ALIAS_MAPPING,compliance fee,Compliance Fee (8),8,03461a15-d3f0-4ca8-b091-04c1a303425e;79b7ecf2-1d33-47ea-821b-3c0dca2fdb92;80552b0d-a4bc-4ea1-aba1-871b30e26019;90415de8-f352-4614-a7b2-99acb7be3359;9fb504a4-7229-46ff-be19-27c7ea01be88;ad6f89cc-1a44-4085-85fd-23029bed0002;ca01f91e-a264-4646-bbe2-8bc8fe30a0cd;fa54163f-47a6-43d8-9276-f52a3f642ca5,0521a5a1-1728-44cf-b58e-e3b528ccc044;1dcf487f-b6c4-4edf-ba72-9c7b86e480a0;303287ed-357c-4c19-88a1-000b6886a26f;5f849bc2-b647-42dd-9254-b8e204034bfc;76939d1d-3e54-4add-97ad-0f89c97f580c;a1229a95-dbcb-4e27-80fd-9b72427de1ad;ee56a130-06d3-4b04-9f02-4111fa038c80,,,,MEDIUM,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision."
